"","CTRL1","CTRL2","CTRL3","CTRL4","AA1","AA2","AA3","AA4"
"1729_at",7.49647804345417,7.31422160558572,7.57327802854679,6.92662572461999,7.63729960969134,7.48730595173085,7.20893163595883,7.10342465408905
"177_at",6.03526673388549,6.1533481878234,6.00684978942331,5.96589812162171,6.0343803506659,6.04560366018415,6.18218457300802,6.17872616726562
"1773_at",6.4947489210195,6.73898816380874,6.79616031396163,6.57512971709825,6.82468673732336,6.68359683228278,7.0558444303609,7.02434777656105
"179_at",9.23039088174916,8.91199131295947,9.03976342221405,9.06650752555141,9.06101568532908,9.06291074967144,8.81275659251734,8.59488917331439
"1861_at",7.25229039963242,7.79517256310057,7.32439239258397,6.94464170059216,7.19133467097175,7.25508887869191,7.60150413341248,7.40684715089052
"200000_s_at",8.0906454195416,8.31804849204371,8.05731628450098,8.94758563521551,8.12374877479158,8.10514848646493,9.05662784494136,9.02607848376874
"200001_at",10.1001631096802,10.6246596650439,10.1688781324095,10.3532939661871,10.1489624920189,10.1653178105044,10.4413595795455,10.4421387157233
"200002_at",10.8136794409241,11.1849190461771,10.7432206165179,10.6773862462861,10.8255856064396,10.7358921629275,10.7818223250252,10.8161992653232
"200003_s_at",12.1279793644993,12.0907657597351,12.2249715445158,11.9327670867713,12.1410603847539,12.1190181872963,12.1202023167348,12.1172585082606
"200004_at",10.3926759725989,10.883090495802,10.5049346036144,10.9826325037553,10.5273170013682,10.6349133596929,10.8549107771057,11.0488566139863
"200005_at",9.08395003756097,9.60943994050461,9.01384644391009,9.5953745331385,9.1952805603993,9.06391391124096,9.74050692068164,9.78486696127537
"200006_at",10.2323008710708,10.8951661659138,10.3471749552615,10.4970602112869,10.2818823893313,10.3231793538737,10.5691117175762,10.5723605850849
"200007_at",10.7831674411019,10.6511580344382,10.8137366125159,10.4678385455236,10.7989837113719,10.7998246330295,10.4544318204788,10.6116488050642
"200008_s_at",7.81245051931717,8.88430246593278,8.21741393685756,8.4302655393063,8.00337364439682,8.34037748838113,8.65754177954675,8.57445259888274
"200009_at",8.9028002233236,9.45817564512711,9.02361699406003,9.13354795680632,9.08090629733974,9.15229525505959,9.41531080984448,9.3835459456916
"200010_at",11.1872873553456,11.2222727641731,11.2571377113441,11.0698275172597,11.1605102853393,11.3873521631548,11.2255774811071,11.1853103748341
"200011_s_at",9.23549752287901,9.30683128553155,9.15808204943163,9.46982038239549,9.18574326933099,9.21041987183638,9.34158133390324,9.33991218266407
"200012_x_at",11.6601567804048,11.8654819112376,11.6059637728819,11.6953044928555,11.5832489666119,11.5487633049727,11.9302371477198,11.8671178960917
"200013_at",11.5420159348375,11.8253525235672,11.5806221652333,11.7300330897574,11.5719039367647,11.6097138788657,11.7837889669928,11.9020896797486
"200014_s_at",8.86171843232161,9.21823085068868,8.98563539162893,9.10141559560678,9.03352590338446,9.01188732074816,9.59804179512658,9.60465267296459
